LEI ,Financial Institution,,Need Financial Institutions
549300SEIRB4CK6DTC04,The First National Bank of Lawrence County at Walnut Ridge,,254900WEQ8ITQNQ9AQ74
549300ROUYYKL22P3T17,The First National Bank of Pandora,,549300RFLICNI75BG067
549300OBYIDGN0LRQS38,First National Bank Of Oklahoma,,54930054ET8KM4O1D485
549300Q26XXW77S35W27,First National Community Bank,,549300EHWBP6UP4Y8J37
549300HGDJQ37M5BE268,"INB, National Association",,5493004O4O6HBJZIXH92
549300DL7AWRPX6NXO12,The First National Bank of Ottawa,,2549004Z576VEJBK3N72
549300JCW11CIGH8GJ60,The Citizens National Bank of Somerset,,549300XDIQEEL7H1YU47
549300HNMUG8WS7JLL28,The Citizens National Bank of Bluffton,,25490091LXRCWGWGZ525
549300F7JKU0UTD6KX15,"Evans Bank, National Association",,254900XVSU89NYH6VF37
549300ND02E8JILK7S61,The First National Bank of Louisburg,,984500FAD1FB7FEGTE82
549300AMRUIP5NTH2V73,Southcrest Bank,,254900O28OG3UMHXQY81
549300BG31WZXGJRH472,Texas National Bank,,5493003NV9L53LK1XI52
5493004R22HRZXTXSR64,The National Bank of Middlebury,,549300ELJT7N25NEWL38
254900NBFODCTL4XR339,The Upstate National Bank,,254900WUFBTURHYEWD17
549300O5WDIJU8S7OI05,"Stride Bank, National Association",,254900WAOJC0EM7P8C35
25490089V5DJHFQMOA03,First National Bank Alaska,,25490074OSKMLQ1W0I88
549300L6W7Y17ULD2C18,Stroud National Bank,,549300B3BEP9WW99IR76
5493004MTRF0ZV6FX998,The Central National Bank of Poteau,,2549002N9QET42VCAS33
549300GXMSA3UUO46130,"Incommons Bank, N.A.",,254900O2VYWY7LKZ6T60
549300Q745S62Q6QNW78,"NATIONAL BANKSHARES, INC.",,2549005NO86X9J3D1U18
549300CPWNBJ0UCBZ853,The Old Point National Bank of Phoebus,,5493000C3HFOULBTXG74
549300HVUN4WJ2BRSZ39,"Texas Republic Bank, National Association",,254900G7NNSN8LRSPM89
549300FJI86JAMJGHR47,Southwest National Bank,,549300G4ESSS6M0MEG51
254900B6KVMI44FWS459,The Farmers National Bank of Scottsville,,549300YAYQAARPBTRA72
549300ZUTKMSWP8JCE68,The Neffs National Bank,,254900VH0YZ5TAKFLL81
549300Q2Y7B8UEC43S54,First National Bank of Louisiana,,254900RND4J0SY320F06
549300QY4UCP33T94N09,Ballston Spa National Bank,,254900DP3BW5KXGW1D65
549300SNAY3J7NZEU618,"Vision Bank, National Association",,984500P059VACEAAFA22
254900Y2VQW872IK0096,The First National Bank of Evant,,254900QE8DMX9C02HU80
5493008FJUGC53MGWP13,Savannah Bank National Association,,984500CFAFEC3F93A587
549300IC1SF2RZ8ROR54,The First Liberty National Bank,,5493002TJKC8NLH1ZP82
549300Y5YUNNHUW2EQ06,"CommunityBank of Texas, N.A.",,5493000349C5XXDRQX28
549300MX8VQ8VRHIUY36,The First National Bank of Moose Lake,,5493000N2MFQSET3L013
549300RM0VO0UBTMOZ05,Citizens National Bank of Greater St. Louis,,254900TG14TB8RKS3U42
549300C690YBM0ROXL93,"Kleberg Bank, N.A",,254900IEGKUDRDS23V26
254900AAY21DADYHZJ85,"STATE NATIONAL BANK IN WEST, THE",,2549007GLTHLP3ZYS308
2549001SGCT0DXW9UA79,The First National Bank of Mount Dora,,9845005EAC5FTC8B2656
549300BPU3QTJ3ZRVE07,Western National Bank,,5493008JUW0FLRMO0W64
WO4YNEKNSZNVVA7Q7C46,The First National Bank of Long Island,,549300O4KTZGM04CCZ47
549300C0NMWZNSX3W048,The First National Bank Of Bangor,,549300VE85K2XTVRSG76
549300QUH5S3VFIWMU57,"GNBank, N.A.",,549300M25807V5I2K649
254900XA8J7Y4KR7AI02,CATTLE BANK & TRUST,,5493003FRXPF7VWOYZ40
54930087FQP1S845Z665,"VeraBank, National Association",,254900PTHF2B5Z1PGA51
5493000EKZWTYZXUW582,First National Bank of Pana,,254900VCWCM4JYEUI429
549300DUOQ7XXHRKPG35,The Lincoln National Bank of Hodgenville,,254900B5Z0UM2W57TK83
549300PV2KIL739QYQ35,Citizens National Bank of Texas,,5493004LYI6NSVMGYH15
5493009BOQDC6PCFR785,"NBT Bank, National Association",,2549004EEJO192FMAC61
54930041S7CZYMJ4CH46,The First National Bank in Tremont,,549300PIL8LFAQ04XC20
2549008L3Z5ZSC32UL43,Peoples State Bank,,5493000VPS85MJ8L5X04
549300UHLXT004ITEJ56,First National Bank of Eastern Arkansas,,5493000JFVFQFL816N45
254900REMJXT9T25JI51,First National Bank of Bosque County,,254900HQK1GFTN5BRG15
54930080KJR5G1HZVI89,First National Bank and Trust Company of Ardmore,,2549004FXPNKCLIN8250
549300OQ3UC55Y6EPP22,Community National Bank,,
254900XJUBW1WCO2J645,"Classic Bank, National Association",,
549300F7S6KEMTKK0546,"Extraco Banks, National Association",,
549300C4J510S9L1RF98,"Alerus Financial, National Association",,
549300R4DYQY768S1R28,Millbury National Bank,,
2549000UUHZDEKIZ2Z84,The Citizens National Bank of Woodsfield,,
5493006P0JVBBAHVXV08,National Exchange Bank and Trust,,
549300RZIWJWJ035S336,First-Lockhart National Bank,,
254900KE1KGYIP021V52,Greenville National Bank,,
254900GWSHKTMAYXI472,MinnStar Bank National Association,,
549300KOLMR4MSUXQS86,The National Bank of Coxsackie,,
254900FP6SX9QWAB1J85,First Texoma National Bank,,
549300W07W12OUENKR02,County National Bank,,
549300YSSK1TDPTWQ036,National Bank of Commerce,,
254900YTIBBOK7PFSV38,FIRST NATIONAL BANK,,
549300DB8DXY0GE82T18,First National Bank in DeRidder,,
549300ASIS4D2QDWH380,Amarillo National Bank,,
549300DSSN04C7ZJJD51,Newfield National Bank,,
254900OD9TDRYGWJ0N48,First National Bank,,
549300DV4OQK0LOKRQ05,The Citizens National Bank Of Quitman,,
54930000REMJYLBAS614,The First National Bank in Carlyle,,
549300LAE6XLBPPTPI03,The First National Bank in Staunton,,
549300XTFXREUXEWLW38,The Security National Bank of Enid,,
549300IFU5D50EZHEU18,First National Bank,,
5493000BIR9N6Y5KFV24,"CNB Bank And Trust, N.A.",,
549300FVFWA3UDV3I702,The Hondo National Bank,,
2549006L3U88MNTL7K26,Stillman BancCorp N.A.,,
549300M16XETIG2Z5N24,"Commercial Bank of Texas, National Association",,
549300K35KPBBS2J9A28,Peoples National Bank of Kewanee,,
RA4FKR1AA05ZK88M8034,Broadway National Bank,,
549300CSKW4TNZHEOO36,Buena Vista National Bank,,
549300OZIFHR7THILC90,"Merchants Bank, National Association",,
549300KTBKVRBY302A16,"Bank of Hillsboro, National Association",,
549300FNCDQV214FLN54,"FSNB, National Association",,
2549003SD8SH7JXN6S72,"First Bankers Trust Company, National Association",,
213800GF3VF8WSF5Q651,FOREST PARK NATIONAL BANK AND TRUST COMPANY,,
5493005ITNB06W8ZHD39,National Bank of St. Anne,,
549300ZGTRKCDKOVEQ80,First National Bank of Pulaski,,
549300S5FSS555M0NA74,First National Bank of Scotia,,
25490001F0A9F7BV6B05,Albany Bank and Trust Company National Association,,
254900WTZC5SSKIN2M11,First National Bank of America,,
5493004LTLRA7Y5L3696,The Fisher National Bank,,
549300KJZ82173UB3I21,City National Bank of West Virginia,,
549300S3XVSI9XULIM45,First National Bank in Port Lavaca,,
5493006MCOP60BBI4G97,Seacoast National Bank,,
549300FZGNW8VUSEDB98,Community National Bank & Trust of Texas,,
549300CFZ6PC3YYDJQ89,Hawaii National Bank,,
549300C853H86L248593,First Southern National Bank,,
549300HWDY3N8UVJO697,"Sunrise Banks, National Association",,
254900TO7P4MVLV70225,First National Bank of Brookfield,,
549300B4NFKK32EM2C60,The First National Bank of South Miami,,
549300G3WIMVDYUYQC27,American Heritage National Bank,,
254900Q9T600TUK1R135,PIKES PEAK NATIONAL BANK,,
549300QBT0F69K8APR14,LOS ALAMOS NATIONAL BANK,,
549300G6F5FVAHSGKU13,Neighborhood National Bank,,
254900QIXIWRRJZY1H73,LegacyBank,,
549300SG7DAVFO3NTC34,Commercial National Bank of Texarkana,,
549300AHVQ1LDFNP8P69,Inwood National Bank,,
549300RWMKY0FK1H5L44,Montgomery Bank,,
549300KJI3KX8KY2FG10,Hilltop National Bank,,
5493007RCYAICJL91Z44,Security National Bank of Omaha,,
549300KUIZTYQRC0R888,Heritage Bank National Association,,
549300NRC5FNSH7RL312,Community National Bank,,
549300VWURV8LBNGQ353,Firstar Bank,,
VEQ70DCTAI4TBBHPYI39,American National Bank,,
549300GCILEV6KJUST91,"Relyance Bank, National Association",,
549300E0P87HTQVFQH08,Consumers National Bank,,
254900EL4XB15QW2WI69,First National Bank of Griffin,,
549300LP0CV2MNC1GV68,"Academy Bank, National Association",,
549300SHQJPJG8CN8153,"HomeTown Bank, National Association",,
549300GDAFL5HNJKDR03,Fidelity Bank,,
2549006WPD8JIY1AFO12,Southeast First National Bank,,
549300K3JILC7UMYWR39,Hiawatha National Bank,,
254900TW0BIDE6JENM80,The Pennsville National Bank,,
549300OCKUW7YV0YNV03,Tri City National Bank,,
5493000OD660GXVRMN83,Eastern National Bank,,
549300YJEIYIINWT8473,"FIRST NATIONAL BANK OF MCHENRY, THE",,
549300EJVZTLWGR61E96,Thumb Bank and Trust,,
549300BRSSSUNB0U6552,"American Bank, National Association",,
549300ZC90ZINB3GMG04,Executive National Bank,,
GDN5JXQ4P5NZE28ZRC90,City National Bank of Florida,,
549300YL0TMLCEU0GW61,Citizens National Bank,,
549300BRR67NLTQSBT29,"HOME TOWN FUNDING, INC.",,
5493004O9GGH58IPFT94,Continental National Bank,,
549300D3HXQOVIN2DA88,"Quail Creek Bank, National Association",,
549300F376WY63AY7896,First National Bank USA,,
549300STIW51KDGL2B62,First National Community Bank,,
549300OWLJ3NG26J9N79,First National Bank,,
549300P37SX9HZ1GNJ59,Columbia National Bank,,
549300LG8MECYD8F2A55,American National Bank & Trust,,
549300QJOGSPJ8EAX798,Central National Bank,,
549300OVNJWJXYPGIU28,"BankChampaign, National Association",,
5493003WHB7TFLYQFS12,LUBBOCK NATIONAL BANK,,
UPMVBH3EU3LS6P1KR697,"AMERANT BANK, NATIONAL ASSOCIATION",,
5493002B3S2CIVMYKZ51,"New OMNI Bank, National Association",,
549300RX3OHHKBC2EQ32,Woodforest National Bank,,
5493006G148FKG4GC506,Evergreen National Bank,,
549300QFJDBOCX7WKY08,The American National Bank of Texas,,
549300SEW263WB5KWU64,"Vast Bank, National Association",,
2549006VBLRP288VX853,"American Bank, N.A.",,
549300Q4JBLTKDC7J303,"Bank of Whittier, National Association",,
549300IRQPG1Q6VZ8Y58,Lone Star National Bank,,
2549000NTDO0Q5Y5VF72,First Community National Bank,,
549300TJWSU1V4GWUL60,Crockett National Bank,,
549300NFAQXBUC5NPK66,"First Commercial Bank, National Association",,
549300VUC1HUFKVPE720,"Triad Bank, National Association",,
254900CPIGHZEFW97Z79,First National Bank Minnesota,,
5493006TJ2N1MYD0XD45,Community National Bank,,
5493007OBKQ5JCQ4JR36,FIRST NATIONAL BANK OF SOUTH PADRE ISLAND,,
549300IK1PI4M3E1Z209,First National Bank of Benton,,
254900DON8SDKGYIL122,"Intercredit Bank, National Association",,
5493006X4VPGZ5GVIB71,Sage Capital Bank,,
549300IY6RZNCBF0QZ14,Community National Bank,,
549300CKJ4DTUYAZXI11,First National Bank and Trust Company,,
MXUKQJKNI44KEXCGF743,"MidSouth Bank, National Association",,
549300GYMDP10GGMLF50,"Golden Bank, National Association",,
549300NJ26KCZVDMI076,Texas National Bank of Jacksonville,,
549300AUFLERO59VGC71,"Home State Bank, National Association",,
254900XDYZ6BODFLQ385,The First Citizens National Bank,,
549300NQEVX22YVYW384,FIRST NATIONAL BANK AND TRUST COMPANY,,
549300BREPLU2KKPI102,The First National Bank of Fort Smith,,
549300N34GCCEN8EJE06,First National Bank,,
254900T2AM7E5EQDN105,Terrabank National Association,,
549300T1KLQQ7B84EZ41,"Citizens National Bank, N.A.",,
549300ZIXM1VUXPG4D03,"Florida Capital Bank, National Association",,
549300M8WGW2D17CZD19,"GARDNER FINANCIAL SERVICES, LTD.",,
54930087JNDLPJWOLV11,THE VINTON COUNTY NATIONAL BANK,,
254900BJAOL0DFF9A885,"Integrity First Bank, National Association",,
549300SS41NEZDLCGD86,"Bank of DeSoto, National Association",,
5493008LABVG9QJ78G04,Center National Bank,,
549300T1ONVEMLQ4B629,First Dakota National Bank,,
5493000XULPSCVX2HV31,PNB Community Bank,,
254900IVPAGO4BK3EO35,Pioneer Trust Bank,,
549300MUMD1WPCSXT518,Community National Bank & Trust,,
5493002JNEZK52NOPC21,Saratoga National Bank and Trust Company,,
549300FKX3KC0CFK2D88,"Community West Bank, National Association",,
549300RP3DLR09NF6157,The First National Bank of Middle Tennessee,,
549300Y8IS1X2RWXET69,"AMERICAN BANK, NATIONAL ASSOCIATION",,
8I3UVGYULPJQIP7FQV10,"South State Bank, National Association",,
549300MIVSVBBGZIFR79,First Farmers & Merchants National Bank,,
549300BO5UTSDB76V724,The Havana National Bank,,
5493003VL1891MV4Y526,"Patriot Bank, National Association",,
549300B63HUNVIWL5V50,American National Bank - Fox Cities,,
549300FTS7TVGFDGUH88,The National Bank of Indianapolis,,
549300YJ77JVC6X3BO61,Thomasville National Bank,,
25490052T4M68YYACN14,QUANTUM NATIONAL BANK,,
5493008OE5JXNTGWD962,"The First, A National Banking Association",,
549300Y6FW0UWRZJW587,ONB Bank,,
254900KOJTW8YS8AL287,First National Bank of Bellevue,,
8AI385EP1ZJCMUOZ8022,Landmark National Bank,,
549300XKEC7P1D7OKJ16,Great Plains National Bank,,
549300GBQMFJ4GDIMC53,Citizens Commerce Bank,,
549300VMVKSQE1B7DD43,The Camden National Bank,,
549300W6GQTN13GWDQ17,The Malvern National Bank,,
C398JSK21YCXWM603F55,"Barrington Bank & Trust Company, N.A.",,
549300RK7Q0WLYYRNC19,Security National Bank of South Dakota,,
549300POAFZ9PGU16760,Edison National Bank,,
549300465MKS092D5K02,Liberty National Bank,,
549300B190GPYLAX3Y92,American First National Bank,,
549300U5SDGYPSPXZU37,"Natbank, National Association",,
3HICJPQ15PGZSBFDNJ82,"Crystal Lake Bank and Trust Company, National Association",,
549300Q55VW95EP3CM33,LCNB National Bank,,
549300XE6SNRPD2GUD44,Virginia National Bank,,
549300KYODJTW38SQV05,"FirstCapital Bank of Texas, National Association",,
549300YN7OQX9PTS2T45,"Lone Star Capital Bank, National Association",,
2138004QPZ7FMGPTU106,CorTrust Bank National Association,,
5493008CIXOTKUFPFW43,Heartland National Bank,,
254900XRXNP494I3AE51,Midwest Bank National Association,,
5493007US5XO6WCOMQ49,SENB Bank,,
549300D1D2WPHU5URX88,"CITIZENS BANK, NATIONAL ASSOCIATION",,
54930044OSTKOJMHF287,"Capital Bank, National Association",,
549300U37SC1LBUJFV92,"Desjardins Bank, National Association",,
549300QWEDZGLJE73X04,ACCESS NATIONAL BANK,,
5493007WZXR2YE227I23,"Blue Ridge Bank, National Association",,
549300085RKRL1WWVD41,CBC NATIONAL BANK,,
5493003QF1L7XNSWRM19,Woodlands National Bank,,
549300KR4ZW8KJC82O47,Community First National Bank,,
5493000SHD1NU031PX30,"The Tipton Latham Bank, National Association",,
38CFVD4YYFWD1FV7IM34,Nicolet National Bank,,
54930001LYHHRVGJ6B97,Cornerstone National Bank & Trust Company,,
549300FK3AFCFVAPH234,"Leader Bank, National Association",,
549300OJ2KK5G6IR2I52,"ONE BANK & TRUST, NATIONAL ASSOCIATION",,
2I8LP0RLR14D1X6W0P51,"Schaumburg Bank & Trust Company, National Association",,
549300ALAL7EW71UE133,West Texas National Bank,,
549300IJ5M3CD2DPIX47,American National Bank of Minnesota,,
549300LH06ZZHKPX5U83,BNC National Bank,,
549300MONA3L2BDK8Q22,"Signature Bank, National Association",,
5493002GTRYL6YXJZV92,"GRAND BANK, NATIONAL ASSOCIATION",,
254900JWLQKPGK4C0B30,Worthington National Bank,,
549300RGUEWNDH44ES51,"Forcht Bank, National Association",,
2549008O36ZLTWMCKU62,"F & M Community Bank, National Association",,
549300AQ83ZR1PW5DB53,"American Bank and Trust Company, National Association",,
549300X2ZT06KCNAN962,"Northwestern Bank, National Association",,
254900QRJBX9155TRB79,Falcon National Bank,,
549300OZ8A612R2D8J95,Liberty National Bank,,
549300NYPTCONPN5C616,"Atlantic Capital Bank, National Association",,
5493008KRFDENOBVE608,"South Central Bank, National Association",,
549300I0X310UO0GSO83,"American Commerce Bank, National Association",,
549300FOO7XNZ1564N12,"Beverly Bank & Trust Company, National Association",,
254900PJ63T7KFSHAV90,The Merchants National Bank,,
549300I0XDGOI1TCSW28,"POST OAK BANK, N.A.",,
5493000V7431YLIMOX56,National Bank of Commerce,,
549300AR337B2RGP3C69,Legacy National Bank,,
5493002POZ4RFS6X0Z30,"Dakota Community Bank & Trust, National Association",,
254900E8AB6YT3KRD187,First National Bank of Michigan,,
54930046358D5EC2R282,"Texas Citizens Bank, National Association",,
54930010ZG6EHTCJ1L21,"Old Plank Trail Community Bank, National Association",,
D8SFNSSIDZMKUS9I1S65,Seaside National Bank & Trust,,
549300SELN3W78HGZ824,"ICON BANK OF TEXAS, NATIONAL ASSOCIATION",,
549300X08QKYUH256I80,"Goldwater Bank, N.A.",,
549300Z8EM6P4IUIYG50,"Waterford Bank, N.A.",,
5493006P6GBZAI0Z3G19,"American Plus Bank, N.A.",,
5493005JF6BKCN6OY689,FineMark National Bank & Trust,,
549300IPOYGXY3GXY258,"GREEN BANK, NATIONAL ASSOCIATION",,
25490041Y3ITG7RD6H37,"Chain Bridge Bank, National Association",,
254900LKMWWJL6KYD684,"FIRST AMERICAN BANK, NATIONAL ASSOCIATION",,
5493001LCP9RF6ADEZ78,First National Bank and Trust Company of Weatherford,,
549300UZLRT6BCR3ZQ32,Empire National Bank,,
2549001R6R928Y08SC30,"Black Hills Community Bank, National Association",,
54930041WT62XX21KC11,"SUMMIT BANK, NATIONAL ASSOCIATION",,
549300WO6ELYQQWFMD71,Oak View National Bank,,
254900IZ14G5JWAFF041,"NEW HORIZON BANK, NATIONAL ASSOCIATION",,
54930004SDYVHYN4M716,Coastal Carolina National Bank,,
DZC62HF6UIZYJ08V1J90,"Fulton Bank, National Association",,
549300SGSDB4HQJSLK07,"FLORIDA COMMUNITY BANK, NATIONAL ASSOCIATION",,
254900RAPDJZFI07WS81,Hometown National Bank,,
549300A2N0IEBKSB5I23,"Guaranty Bank & Trust, N.A.",,
549300IBHVRZNE4YFN80,"Banc of California, National Association",,
549300SUC4CLYKKZWS29,Citizens Community Federal National Association,,
5493001GAASLCSP1PB64,"NATIONAL COOPERATIVE BANK, N.A.",,
549300II7Y8V2KY9TM28,"Home Bank, National Association",,
25490023H7X3L32H8F50,ATHENS FEDERAL COMMUNITY BANK NATIONAL ASSOCIATION,,
549300ZGCIDP1G72QO72,"Cf Bank, National Association",,
54930061HIZ1MCMEOR72,"BankFinancial, National Association",,
549300KW705BBINDIZ26,"TIB The Independent Bankersbank, National Association",,
54930072ZER0H6G56O90,First National Bank Baird,,
5493004MWCDBCBTXE044,"Lake Forest Bank & Trust Company, National Association",,
549300T560RY8NY4EY89,The Ephrata National Bank,,
5493001SSNVCONGBH947,The First National Bank and Trust Company,,
549300ZN5MIVRMVHJS09,"BANKSOUTH MORTGAGE COMPANY, LLC",,
549300IXP5DNWSGY6F96,"Intrust Bank, National Association",,
549300JL8NM8DX0AMB96,JONES BANK,,
549300CWJ74FF73VDL12,First Bank,,
5493003QPO86QUI9FJ04,"The Security National Bank of Sioux City, Iowa",,
254900NSXWCE07HAP496,The National Bank of Malvern,,
549300QQ8FVN501MZL94,First National Bank and Trust Company of Newtown,,
Q107R4XFOZ6F6K73C488,The First National Bank in Sioux Falls,,
2549000JPXK5I949AM33,The First National Bank of Ballinger,,
549300YNUT7D0FWKU636,The Farmers National Bank of Canfield,,
3XATK28RYORGPDF31217,"Cadence Bank, N.A.",,
5493007XRAHUC7QUVO11,The First National Bank of Granbury,,
549300RM7ARTTP3T1V93,The Canandaigua National Bank and Trust Company,,
2549009AOX259OY87H37,Baker Boyer National Bank,,
549300EC7M6N4U9DR727,The First National Bank of McGregor,,
254900YTMXVNCWHCVS50,The First National Bank of Bastrop,,
549300Z3IVG2MX9Y3287,National United,,
549300YUWQTVWWH3TM22,The National Capital Bank of Washington,,
549300508JOHWSRFDR57,The Stephenson National Bank and Trust,,
549300IVURCTJ6QVMD67,"First Financial Bank, National Association",,
254900YJOY30UROEAG69,First National Bank of Huntsville,,
549300E48FRXMPIEQ102,The First National Bank of Beeville,,
2549005IUIJTSX4P5695,The First National Bank of Bellville,,
5493001X4GHD8J6W2L33,"COMANCHE NATIONAL BANK, THE",,
549300GZ7AZQEUEDGU30,"Legend Bank, N.A.",,
254900L3UJN7196A5W71,Central National Bank,,
5493002J7RM1JLAXN553,First National Bank,,
B94HV8SXGDD3J5XESU08,Old Second National Bank,,
254900JH5HOQQ4CDPC30,The First National Bank of McConnelsville,,
213800M6RMI3YBX62W88,"CORTRUST MORTGAGE, INC.",,
254900TQL77TN5I01K05,Fortifi Bank,,
549300E0S1LZYZ9QNX81,"First Financial Bank, National Association",,
5493004KLDVVA608R237,Texas Heritage National Bank,,
2549008TT6UNYR7AXF54,"Sunflower Bank, National Association",,
875500IRGJS5OZLCNW49,The Midland National Bank of Newton,,
549300KH5RQTNDNNHM28,The First National Bank of Carmi,,
549300BRLQAIJ1LJA253,"Bank First, N.A.",,
549300CW5TQ2ILVQPH09,The FNB Community Bank,,
549300TFEH2N4OKL5136,"NEXTIER BANK, NATIONAL ASSOCIATION",,
2549004NC9AQ00THAD39,Waggoner National Bank,,
549300RZFHIGIM84KN09,First Citizens National Bank,,
2549005LG69OCBT9WE71,The Riddell National Bank,,
549300PHUZ7U5WPH7Z38,The City National Bank of Taylor,,
254900CBU2F2TON68T25,First National Bank of East Texas,,
5493008X303QT73TU753,Liberty National Bank,,
549300CUL44QXBGFJM68,The First National Bank of Sonora,,
5493008P7IF5WNSI6V48,The Farmers National Bank of Emlenton,,
549300U1RXPGUIKOLB91,Citizens National Bank,,
549300II4U7S5GDYGU90,The First National Bank of Manchester,,
549300HCWCQYV87S4729,The First National Bank and Trust Co.,,
5493008R64K2UUN2NP30,"Austin Bank, Texas National Association",,
254900D3ZSLR3VYI9A24,The First National Bank of Shiner,,
549300XYOAX0LV89BL94,"FCN Bank, National Association",,
549300LXCDKIWPEE4R73,The Peshtigo National Bank,,
549300P3IKHVYBR1E510,The First National Bank of Winnsboro,,
549300TOX22KEAVGGB27,"CapTex Bank, National Association",,
549300YBM0K5N6REP663,"Gilmer National Bank, Gilmer, Texas",,
5493006KQF5UKZ3Y9N07,First National Bank Texas,,
549300RYQVJMZ3X21K04,The City National Bank and Trust Company of Lawton,,
254900ZOIZTP7ZF6AH17,"Resource Bank, National Association",,
549300Z0OW7UDR5F5Z46,The Home National Bank of Thorntown,,
549300B3LJV7BU7IY610,First National Bank of Central Texas,,
549300MVRMQQQCPMNN86,Ramsey National Bank,,
549300XHAIQYHZG7KY40,The First National Bank of Las Animas,,
2549005AK04LGIZGXS10,The First National Bank of Anson,,
5493001CF53JP3UQ0024,NewFirst National Bank,,
254900C2QXQ435D8TY78,Queensborough National Bank & Trust Company,,
254900LD3DEBFTITLD76,Farmers National Bank,,
254900FKPTR6FQ8IH565,Minnesota National Bank,,
549300458LCI17J5BY03,The Honesdale National Bank,,
2549005SKP81W00YW119,First National Bank of Dryden,,
549300F1QUQ5OC00JB42,"DNB First, National Association",,
549300P8K0GPRS1CUS51,HNB National Bank,,
54930030NLAV245IKD76,The Peoples National Bank of Mount Pleasant,,
549300O3C6Y0X1FKZJ98,The First National Bank of Elmer,,
549300LUOV7WW4BLH779,The National Grand Bank of Marblehead,,
549300OTZJELCR34CD18,The First National Bank of Bagley,,
549300ZK7EAZ7CRGCU94,The First National Bank of Raymond,,
5493002XYKZPDHNHJY97,The First National Bank of Le Center,,
254900B7OQXWTD0I4K81,The First National Bank of Hughes Springs,,
254900237R332M8L2724,The Miners National Bank of Eveleth,,
549300DD6DH8XAGW3A86,Piedmont Federal Savings Bank,,
2549007S3Y4859VJ1444,First Federal Bank of Ohio,,
549300K2EV48DVSYNV15,Home Federal Bank,,
549300WIE2SKOKI8PF63,North Shore Trust and Savings,,
549300JXWG67QZF4I652,Fifth District Savings Bank,,
5493007OYHUX3OJQ2537,Wake Forest Federal Savings and Loan Association,,
254900TY6UTJ321IPS13,Union Federal Savings and Loan Association,,
549300TQVOMKNKFOH392,Gate City Bank,,
549300SICEH17XJOAN86,Fairfield Federal Savings and Loan Association of Lancaster,,
254900YTK1B45E0R9062,A J SMITH FEDERAL SAVINGS BANK,,
549300VDK2EPK7QQKY80,Malvern Bank N.A.,,
549300QOIO7RN6JTEI45,Pioneer Bank,,
549300VSOJCMQO84C619,Huntington Federal Savings Bank,,
254900TKN9MHYDKF7174,Best Hometown Bank,,
549300T3SYU6TOQN7174,Central Federal Savings and Loan Association of Chicago,,
5493001HBW8F635CC420,Foxboro Federal Savings,,
549300ZVEC9BMHFLTM94,RiverWood Bank,,
549300SC9Z72JZIKY819,Greenville Federal,,
549300C61LNGA8J8EF85,Capitol Federal Savings Bank,,
549300ENNFGLHCMQ1U82,"Guardian Savings Bank, A Federal Savings Bank",,
254900LVZ1O44BCREK60,"Belmont Savings Bank, SSB",,
2549009FXR8PWETMRA43,Covington Savings and Loan Association,,
549300QV6YJK6ZDZPV54,Collinsville Building and Loan Association,,
254900YEG6LSF1BFA422,"Winter Hill Bank, FSB",,
549300LUF8JLB9HKT321,Warsaw Federal Savings and Loan Association,,
